gender,user_id,sport_type,age_group
MALE,LS_621e2e8e67b776a24055b564,Mixed,<30
FEMALE,LS_621e2eaf67b776a2406b14ac,Mixed,>=30
FEMALE,LS_621e2ed667b776a24085d8d1,Mixed,<30
MALE,LS_621e2ef567b776a24099f889,Mixed,<30
FEMALE,LS_621e2efa67b776a2409dd1c3,Mixed,<30
FEMALE,LS_621e2f1b67b776a240b3d87c,Mixed,>=30
MALE,LS_621e2f3967b776a240c654db,Mixed,>=30
FEMALE,LS_621e2f5767b776a240d8f9d6,Mixed,<30
FEMALE,LS_621e2f6167b776a240e082a9,Mixed,>=30
MALE,LS_621e2f7a67b776a240f14425,Mixed,>=30
FEMALE,LS_621e2f9167b776a240011ccb,Mixed,>=30
MALE,LS_621e2fb367b776a24015accd,Mixed,>=30
MALE,LS_621e2fce67b776a240279baa,Mixed,<30
FEMALE,LS_621e2ff067b776a2403eb737,Mixed,<30
MALE,LS_621e300767b776a2404dc717,Mixed,<30
MALE,LS_621e301367b776a24057738e,Mixed,>=30
FEMALE,LS_621e301e67b776a240608a72,Mixed,<30
MALE,LS_621e309267b776a240ae1cdb,Mixed,<30
MALE,LS_621e309b67b776a240b532b0,Mixed,>=30
FEMALE,LS_621e30b267b776a240c5e13f,Mixed,<30
FEMALE,LS_621e30c867b776a240d4aa6c,Mixed,<30
MALE,LS_621e30e267b776a240e5bf90,Mixed,<30
MALE,LS_621e30e467b776a240e817c7,Mixed,<30
MALE,LS_621e30f467b776a240f22944,Mixed,<30
FEMALE,LS_621e310d67b776a24003096d,Mixed,>=30
MALE,LS_621e312a67b776a240164d59,Mixed,>=30
MALE,LS_621e314867b776a24029ebf9,Mixed,<30
MALE,LS_621e320b67b776a240d36a07,Mixed,<30
MALE,LS_621e322367b776a240e44e9b,Mixed,>=30
MALE,LS_621e323667b776a240f19134,Mixed,<30
MALE,LS_621e324e67b776a2400191cb,Mixed,>=30
FEMALE,LS_621e326767b776a24012e179,Mixed,<30
MALE,LS_621e328667b776a240281372,Mixed,>=30
MALE,LS_621e329067b776a2402ffad2,Mixed,>=30
MALE,LS_621e32af67b776a24045b4cf,Mixed,<30
FEMALE,LS_621e32d067b776a2405b7d54,Mixed,>=30
MALE,LS_621e32d967b776a240627414,Mixed,>=30
MALE,LS_621e32e667b776a2406d2f1c,Mixed,>=30
FEMALE,LS_621e331067b776a24085dd3f,Mixed,>=30
MALE,LS_621e332267b776a24092a584,Mixed,<30
MALE,LS_621e333567b776a240a0c217,Mixed,<30
MALE,LS_621e333967b776a240a3cd06,Mixed,<30
FEMALE,LS_621e335a67b776a240bb12ff,Mixed,>=30
MALE,LS_621e337667b776a240ce78ab,Mixed,<30
FEMALE,LS_621e339967b776a240e502de,Mixed,<30
MALE,LS_621e33b067b776a240f39e56,Mixed,>=30
MALE,LS_621e33cf67b776a240087de9,Mixed,>=30
MALE,LS_621e33ed67b776a2401cf5f7,Mixed,<30
MALE,LS_621e340467b776a2402d7982,Mixed,>=30
MALE,LS_621e341067b776a24037b105,Mixed,>=30
MALE,LS_621e342e67b776a2404ce460,Mixed,<30
FEMALE,LS_621e345267b776a240691064,Mixed,<30
FEMALE,LS_621e345c67b776a2407146a8,Mixed,<30
Unknown,LS_621e346f67b776a24081744f,Mixed,Unknown
FEMALE,LS_621e34ca67b776a240be3b69,Mixed,>=30
FEMALE,LS_621e34db67b776a240c9c2be,Mixed,>=30
MALE,LS_621e34ec67b776a240d60873,Mixed,<30
FEMALE,LS_621e34f767b776a240de4e1a,Mixed,<30
FEMALE,LS_621e34ff67b776a240e446d6,Mixed,>=30
MALE,LS_621e351a67b776a240f6204b,Mixed,<30
Unknown,LS_621e356967b776a24027bd9f,Mixed,Unknown
FEMALE,LS_621e360b67b776a24039709f,Mixed,>=30
MALE,LS_621e362467b776a2404ad513,Mixed,>=30
MALE,LS_621e366567b776a24076a727,Mixed,>=30
MALE,LS_621e367e67b776a24087d75d,Mixed,Unknown
FEMALE,LS_621e36bb67b776a240b40d64,Mixed,<30
MALE,LS_621e36c267b776a240ba2756,Mixed,<30
MALE,LS_621e36dd67b776a240ce9a45,Mixed,>=30
FEMALE,LS_621e36f967b776a240e5e7c9,Mixed,<30
MALE,LS_621e375367b776a24021e950,Mixed,<30
FEMALE,LS_621e375b67b776a240290cdc,Mixed,<30
